tfidf,token
8.106674441405481,change reservation
8.799821621965428,change seats
8.394356513857263,change ticket
6.386888471802516,changed
8.193685818395112,changed flight
6.640337372612055,changes
7.036233029704069,changing
8.512139549513646,changing flight
8.64567094213817,channels
8.512139549513646,chaos
7.818992368953701,characters
6.328901214152166,charge
7.008062152737372,charged
8.193685818395112,charges
7.500538637835167,charging
8.64567094213817,charity
8.394356513857263,charleston
6.43269800783381,charlotte
8.799821621965428,charlotte nc
8.799821621965428,chase
8.288995998199436,chat
7.701209333297317,cheap
7.952523761578224,cheaper
4.9046057348536625,check
7.372705266325282,check bag
8.799821621965428,check baggage
8.193685818395112,check bags
8.512139549513646,check carry
8.64567094213817,check dm
7.595848817639491,check flight
8.799821621965428,check ins
8.193685818395112,check online
5.829407156395726,checked
6.953994931467096,checked bag
8.288995998199436,checked baggage
8.64567094213817,checked bags
8.799821621965428,checked online
6.953994931467096,checkin
6.699760793082856,checking
8.799821621965428,checkout
7.952523761578224,cheers
8.193685818395112,chi
6.172740483396884,chicago
8.64567094213817,chicken
7.295744225189153,child
7.6471421120270415,children
8.799821621965428,china
7.295744225189153,choice
7.595848817639491,choose
8.64567094213817,choosing
8.799821621965428,chose
8.799821621965428,chrome
8.799821621965428,circumstances
7.818992368953701,cities
6.762939694704388,city
6.058981598040226,claim
8.799821621965428,claim number
8.64567094213817,claimed
8.799821621965428,claiming
8.193685818395112,claims
8.799821621965428,clarification
5.787560046460226,class
8.512139549513646,class seat
8.799821621965428,class ticket
8.799821621965428,classy
7.883530890091272,cle
7.883530890091272,clean
8.394356513857263,cleaned
7.500538637835167,clear
8.799821621965428,cleared
7.595848817639491,clearly
8.288995998199436,cleveland
8.64567094213817,click
8.512139549513646,client
8.394356513857263,clients
7.4135272608455365,close
7.224285261207008,closed
8.64567094213817,closer
6.980663178549258,clothes
6.080721584676632,clt
6.762939694704388,club
8.799821621965428,clubs
7.7583677471372665,clue
8.799821621965428,cluster
7.701209333297317,cmh
8.799821621965428,cmon
8.288995998199436,cnn
7.6471421120270415,coach
8.288995998199436,coast
8.193685818395112,coat
7.224285261207008,code
7.7583677471372665,coffee
7.008062152737372,cold
8.799821621965428,cold weather
8.512139549513646,college
7.701209333297317,columbus
7.7583677471372665,com
5.8466489628302325,come
8.193685818395112,comes
8.394356513857263,comfortable
6.3149149721774265,coming
8.288995998199436,comment
8.106674441405481,commercial
8.64567094213817,commercials
8.64567094213817,commitment
